sample_id,n_taxa,n_resources,source_shannon,binary_participation_rank,flux_participation_rank,flux_entropy_rank,flux_d90,flux_d95,weighted_participation_rank
C,85,336,3.79284979171124,2.61616931706017,2.239288303002414,3.222583677296676,3,4,1.5126526126428463
E,108,331,4.06235438221927,2.481076236324989,2.684095957487822,3.6910501837889154,3,5,1.8781905930673193
J,70,322,3.43373291554281,2.8641834591190993,1.54750740397425,2.165540640646332,2,3,1.051402870477472
T,69,298,3.54157208843192,2.4073669473754253,2.025389532262281,2.7492935398516773,2,3,1.0962072911370286
