cohort,N_total,n_rank_selection,n_inner_train_approx,p,q,true_rank,population_R2,per_direction_variance_share,spectrum,seeds,observed_cohort_R2,observed_cohort_rank,median_selected_rank,mean_selected_rank,exact_rank_rate,rank_zero_rate,fraction_true_directions_retained,median_cv_R2,mean_cv_R2
He infants,277,222,178,24,24,10,0.2,0.02,equal,100,0.091,2,10.0,10.07,0.82,0.0,0.9930000000000001,0.11452909842787601,0.11524645935306933
He infants,277,222,178,24,24,10,0.3,0.03,equal,100,0.091,2,10.0,10.02,0.98,0.0,1.0,0.23200346748684908,0.23250561737023484
He infants,277,222,178,24,24,10,0.5,0.05,equal,100,0.091,2,10.0,10.03,0.97,0.0,1.0,0.4538465519519095,0.4524648229177199
Jacobs IBD families,90,72,58,24,24,2,0.02,0.01,equal,100,0.112,1,0.0,0.02,0.0,0.98,0.01,0.0,5.7477982924452055e-05
Jacobs IBD families,90,72,58,24,24,2,0.05,0.025,equal,100,0.112,1,0.0,0.28,0.08,0.8,0.14,0.0,0.00201079688320321
Jacobs IBD families,90,72,58,24,24,2,0.1,0.05,equal,100,0.112,1,2.0,1.53,0.61,0.08,0.765,0.02803463902129749,0.02956596148404915
Jacobs IBD families,90,72,58,24,24,2,0.15,0.075,equal,100,0.112,1,2.0,1.94,0.92,0.0,0.965,0.080790482199885,0.08149175979938979
Jacobs IBD families,90,72,58,24,24,2,0.2,0.1,equal,100,0.112,1,2.0,2.01,0.95,0.0,0.99,0.13848153187934248,0.13722832263194698
Jacobs IBD families,90,72,58,24,24,2,0.3,0.15,equal,100,0.112,1,2.0,2.0,1.0,0.0,1.0,0.23728766741615076,0.2390632041723279
Jacobs IBD families,90,72,58,24,24,2,0.5,0.25,equal,100,0.112,1,2.0,2.01,0.99,0.0,1.0,0.4401908609590163,0.43825403337520286
Jacobs IBD families,90,72,58,24,24,10,0.02,0.002,equal,100,0.112,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jacobs IBD families,90,72,58,24,24,10,0.05,0.005,equal,100,0.112,1,0.0,0.02,0.0,0.98,0.002,0.0,5.7712861034219244e-05
Jacobs IBD families,90,72,58,24,24,10,0.1,0.01,equal,100,0.112,1,0.0,0.04,0.0,0.96,0.004,0.0,0.00034746123241931494
Jacobs IBD families,90,72,58,24,24,10,0.15,0.015,equal,100,0.112,1,0.0,0.44,0.0,0.72,0.044,0.0,0.0025552382650622795
Jacobs IBD families,90,72,58,24,24,10,0.2,0.02,equal,100,0.112,1,1.0,1.65,0.01,0.45,0.165,0.0031739843499465348,0.009103049179581485
