eta,median,q025,q975
16.0,0.009674146352935897,0.0015748097131380923,0.03315811572559248
32.0,0.004899318879452302,0.0007969177437484682,0.01671557695391978
64.0,0.002465474546610308,0.0004008737900776105,0.008390801093668958
128.0,0.0012367229643413247,0.00020104526499621633,0.004203531846898152
256.0,0.0006193618716100191,0.00010067527804584475,0.002103787794838729
